currency_code,currency,rate_date,buying_rate,central_rate,selling_rate,is_forward_filled,snapshot_date
XOF,Cfa,2026-05-08,2.4129,2.4229,2.4329,False,2026-05-08
CNY,Yuan/Renminbi,2026-05-08,200.0375,200.1110,200.1845,False,2026-05-08
DKK,Danish Krona,2026-05-08,214.2692,214.3479,214.4267,False,2026-05-08
EUR,Euro,2026-05-08,1601.4570,1602.0456,1602.6342,False,2026-05-08
JPY,Yen,2026-05-08,8.6860,8.6892,8.6923,False,2026-05-08
SAR,Riyal,2026-05-08,362.6173,362.7506,362.8838,False,2026-05-08
ZAR,South African Rand,2026-05-08,82.9681,82.9986,83.0291,False,2026-05-08
XDR,Sdr,2026-05-08,1868.3393,1869.0260,1869.7127,False,2026-05-08
CHF,Swiss Franc,2026-05-08,1748.3550,1748.9976,1749.6401,False,2026-05-08
GBP,Pounds Sterling,2026-05-08,1852.3138,1852.9946,1853.6754,False,2026-05-08
USD,Us Dollar,2026-05-08,1360.3950,1360.8950,1361.3950,False,2026-05-08
WAU,Waua,2026-05-08,1866.9109,1867.5971,1868.2833,False,2026-05-08
AED,Uae Dirham,2026-05-08,370.3468,370.4829,370.6191,False,2026-05-08
